Row | Index | Rooms | House | Apt | FullAddress | Amortization (AU) | Deduction (AV) | TaxBase (AW)
14 | 13 | 2-х комнатная квартира  | 5Д | 21 | Жилой комплекс Лазурный квартал, Сарайшык 5Д - 21 | 19155.31 | 20902.32 | 19155.31
15 | 14 | 2-х комнатная квартира  | 5Д | 6 | Жилой комплекс Лазурный квартал, Сарайшык 5Д - 6 | 19676.3 | 21465.82 | 19676.3
16 | 15 | 2-х комнатная квартира  | 5Д | 7 | Жилой комплекс Лазурный квартал, Сарайшык 5Д - 7 | 18260.17 | 19925.62 | 18260.17
17 | 16 | 2-х комнатная квартира  | 5Д | 76 | Жилой комплекс Лазурный квартал, Сарайшык 5Д - 76 | 18995.34 | 20727.95 | 18995.34
18 | 17 | 2-х комнатная квартира  | 5Д | 95 | Жилой комплекс Лазурный квартал, Сарайшык 5Д - 95 | 18730.82 | 20442.82 | 18730.82
19 | 18 | 3-х комнатная квартира  | 3/1 | 265 | Жилой комплекс Сармат-2, Сауран 3/1 - 265 | 23481.23 | 25627.11 | 23481.23
20 | 20 | 2-х комнатная квартира  | 3/1 | 309 | Жилой комплекс Сармат-2, Сауран 3/1 - 309 | 15995.37 | 17459.73 | 15995.37
21 | 21 | 3-х комнатная квартира  | 3/1 | 359 | Жилой комплекс Сармат-2, Сауран 3/1 - 359 | 22282.96 | 24324.68 | 22282.96
22 | 23 | 2-х комнатная квартира  | 3/1 | 454 | Жилой комплекс Сармат-2, Сауран 3/1 - 454 | 16496.46 | 18006.51 | 16496.46
23 | 24 | 3-х комнатная квартира  | 7 | 6 | Жилой комплекс Хан-тенгри, Сембинова 7 - 6 | 21695.86 | 23712.74 | 21695.86
24 | 26 | 2-х комнатная квартира  | 2 | 9 | Жилой комплекс Виктория, Б. Момышулы 2 - 9 | 23365.16 | 25517.39 | 23365.16
25 | 27 | 2-х комнатная квартира  | 2 | 119 | Жилой комплекс Виктория, Б. Момышулы 2 - 119 | 22361.28 | 24421.04 | 22361.28
26 | 28 | 2-х комнатная квартира  | 2 | 122 | Жилой комплекс Виктория, Б. Момышулы 2 - 122 | 23816.9 | 26010.74 | 23816.9
27 | 29 | 2-х комнатная квартира  | 2 | 132 | Жилой комплекс Виктория, Б. Момышулы 2 - 132 | 18744.83 | 20477.04 | 18744.83
28 | 31 | 3-х комнатная квартира  | 36/1 | 23 | Жилой комплекс Жагалау-3, 199 36/1 - 23 | 19190.86 | 21010.05 | 19190.86
29 | 32 | 3-х комнатная квартира  | 36/1 | 30 | Жилой комплекс Жагалау-3, 199 36/1 - 30 | 18288.22 | 20021.84 | 18288.22
30 | 33 | 3-х комнатная квартира  | 36/1 | 31 | Жилой комплекс Жагалау-3, 199 36/1 - 31 | 15712.52 | 17184.19 | 15712.52
31 | 34 | 3-х комнатная квартира  | 36/1 | 40 | Жилой комплекс Жагалау-3, 199 36/1 - 40 | 18700.29 | 20472.98 | 18700.29
32 | 35 | 3-х комнатная квартира  | 36/1 | 41 | Жилой комплекс Жагалау-3, 199 36/1 - 41 | 15307.45 | 16747.64 | 15307.45
33 | 36 | 3-х комнатная квартира  | 36/1 | 43 | Жилой комплекс Жагалау-3, 199 36/1 - 43 | 8077.98 | 8846.800000000001 | 8077.98
34 | None | 3-х комнатная квартира  | 36/1 | 43 | Жилой комплекс Жагалау-3, 199 36/1 - 43 | 5792.01 | 6343.26 | 5792.01
35 | 55 | 3-х комнатная квартира  | 36/1 | 43 | Жилой комплекс Жагалау-3, 199 36/1 - 43 | 5068.72 | 5551.14 | 5068.72
36 | 57 | 3-х комнатная квартира  | 36/1 | 44 | Жилой комплекс Жагалау-3, 199 36/1 - 44 | 13380.81 | 14654.33 | 13380.81
37 | 58 | 3-х комнатная квартира  | 36/1 | 44 | Жилой комплекс Жагалау-3, 199 36/1 - 44 | 3388.03 | 3710.49 | 3388.03
38 | 59 | 3-х комнатная квартира  | 36/1 | 44 | Жилой комплекс Жагалау-3, 199 36/1 - 44 | 2531.51 | 2772.4500000000003 | 2531.51
39 | 60 | 3-х комнатная квартира  | 36/1 | 45 | Жилой комплекс Жагалау-3, 199 36/1 - 45 | 18120.25 | 19844.84 | 18120.25
40 | 63 | 2-х комнатная квартира  | 7 | 177 | Жилой комплекс Сапа-2007, 188 7 - 177 | 3266.6600000000003 | 4064.1 | 3266.6600000000003
41 | None | 2-х комнатная квартира  | 7 | 177 | Жилой комплекс Сапа-2008, 188 7 - 177 | 3266.6600000000003 | 4064.1 | 3266.6600000000003
42 | 64 | 2-х комнатная квартира  | 7 | 177 | Жилой комплекс Сапа-2007, 188 7 - 177 | 5699.69 | 7091.06 | 5699.69
43 | 65 | 2-х комнатная квартира  | 7 | 181 | Жилой комплекс Сапа-2007, 188 7 - 181 | 12814.6 | 15942.83 | 12814.6
44 | 66 | 2-х комнатная квартира  | 7 | 183 | Жилой комплекс Сапа-2007, 188 7 - 183 | 12174.84 | 15146.89 | 12174.84
45 | 69 | 2-х комнатная квартира  | 7 | 242 | Жилой комплекс Сапа-2007, 188 7 - 242 | 4982.38 | 6198.65 | 4982.38
46 | 70 | 2-х комнатная квартира  | 7 | 242 | Жилой комплекс Сапа-2007, 188 7 - 242 | 7192.46 | 8948.24 | 7192.46
47 | 71 | 2-х комнатная квартира  | 7 | 246 | Жилой комплекс Сапа-2007, 188 7 - 246 | 12872.76 | 16015.19 | 12872.76
48 | 72 | 2-х комнатная квартира  | 7 | 252 | Жилой комплекс Сапа-2007, 188 7 - 252 | 12853.37 | 15991.07 | 12853.37
49 | 74 | 2-х комнатная квартира  | 7 | 254 | Жилой комплекс Сапа-2007, 188 7 - 254 | 12174.84 | 15146.89 | 12174.84
50 | 76 | 2-х комнатная квартира  | 7 | 260 | Жилой комплекс Сапа-2007, 188 7 - 260 | 7192.46 | 8948.24 | 7192.46
51 | 77 | 2-х комнатная квартира  | 7 | 260 | Жилой комплекс Сапа-2007, 188 7 - 260 | 4982.38 | 6198.65 | 4982.38
52 | 78 | 2-х комнатная квартира  | 7 | 270 | Жилой комплекс Сапа-2007, 188 7 - 270 | 12833.99 | 15966.95 | 12833.99
53 | 79 | 2-х комнатная квартира  | 7 | 272 | Жилой комплекс Сапа-2007, 188 7 - 272 | 12155.45 | 15122.77 | 12155.45
54 | 82 | 3-х комнатная квартира  | 5 | 116 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 116 | 7734.07 | 11073.74 | 7734.07
55 | 83 | 3-х комнатная квартира  | 5 | 116 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 116 | 16601.34 | 23770 | 16601.34
56 | 84 | 3-х комнатная квартира  | 5 | 116 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 116 | 3371.26 | 4827.01 | 3371.26
57 | 85 | 3-х комнатная квартира  | 5 | 128 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 128 | 19122.7 | 27380.13 | 19122.7
58 | 86 | 3-х комнатная квартира  | 5 | 128 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 128 | 5212.71 | 7463.62 | 5212.71
59 | 87 | 3-х комнатная квартира  | 5 | 128 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 128 | 3427.92 | 4908.14 | 3427.92
60 | 88 | 3-х комнатная квартира  | 5 | 130 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 130 | 6912.32 | 9897.15 | 6912.32
61 | 89 | 3-х комнатная квартира  | 5 | 130 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 130 | 7932.17 | 11357.39 | 7932.17
62 | 90 | 3-х комнатная квартира  | 5 | 130 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 130 | 7988.83 | 11438.51 | 7988.83
63 | 91 | 3-х комнатная квартира  | 5 | 153 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 153 | 7564.09 | 10830.36 | 7564.09
64 | 92 | 3-х комнатная квартира  | 5 | 153 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 153 | 10184.61 | 14582.45 | 10184.61
65 | 93 | 3-х комнатная квартира  | 5 | 153 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 153 | 9986.3 | 14298.51 | 9986.3
66 | 94 | 3-х комнатная квартира  | 5 | 165 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 165 | 27055 | 38737.69 | 27055
67 | 95 | 3-х комнатная квартира  | 5 | 174 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 174 | 27621.67 | 39549.05 | 27621.67
68 | 97 | 3-х комнатная квартира  | 5 | 178 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 178 | 27508.33 | 39386.78 | 27508.33
69 | 98 | 3-х комнатная квартира  | 5 | 186 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 186 | 3371.26 | 4827.02 | 3371.26
70 | 99 | 3-х комнатная квартира  | 5 | 186 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 186 | 10949.52 | 15677.66 | 10949.52
71 | 100 | 3-х комнатная квартира  | 5 | 186 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 186 | 13499.22 | 19328.35 | 13499.22
72 | 102 | 3-х комнатная квартира  | 5 | 205 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 205 | 23116.67 | 33098.74 | 23116.67
73 | 103 | 3-х комнатная квартира  | 5 | 207 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 207 | 27905 | 39954.73 | 27905
74 | 104 | 3-х комнатная квартира  | 5 | 208 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 208 | 23116.67 | 33098.74 | 23116.67
75 | 105 | 3-х комнатная квартира  | 5 | 424 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 424 | 19264.37 | 27582.96 | 19264.37
76 | 106 | 3-х комнатная квартира  | 5 | 424 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 424 | 5241.04 | 7504.19 | 5241.04
77 | 107 | 3-х комнатная квартира  | 5 | 424 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 424 | 3399.59 | 4867.58 | 3399.59
78 | 108 | 3-х комнатная квартира  | 5 | 437 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 437 | 3031.22 | 4340.13 | 3031.22
79 | 109 | 3-х комнатная квартира  | 5 | 437 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 437 | 10510.11 | 15048.52 | 10510.11
80 | 110 | 3-х комнатная квартира  | 5 | 437 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 437 | 9037 | 12939.29 | 9037
81 | 111 | 3-х комнатная квартира  | 5 | 514 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 514 | 15737.21 | 22532.74 | 15737.21
82 | 112 | 3-х комнатная квартира  | 5 | 514 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 514 | 15935.52 | 22816.68 | 15935.52
83 | 113 | 3-х комнатная квартира  | 5 | 514 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 514 | 8612.26 | 12331.15 | 8612.26
84 | 114 | 3-х комнатная квартира  | 5 | 516 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 516 | 5996.58 | 8585.99 | 5996.58
85 | None | 3-х комнатная квартира  | 5 | 516 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 516 | 5996.58 | 8585.99 | 5996.58
86 | 115 | 3-х комнатная квартира  | 5 | 516 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 516 | 12078.14 | 17293.66 | 12078.14
87 | 116 | 3-х комнатная квартира  | 5 | 516 | Жилой комплекс Акку, ул. Е30, дом 5, кв. 516 | 16383.68 | 23458.38 | 16383.68
88 | 118 | 1-х комнатная квартира  | 6/2 | 11 | ул. Кенен Азирбаев, дом 6/2, кв. 11  | 11048.33 | 15836.42 | 11048.33
89 | 119 | 1-х комнатная квартира  | 6/2 | 18 | ул. Кенен Азирбаев, дом 6/2, кв. 18 | 11021.67 | 15798.19 | 11021.67
90 | 121 | 1-х комнатная квартира  | 6/2 | 39 | ул. Кенен Азирбаев, дом 6/2, кв. 39 | 11075.83 | 15875.83 | 11075.83
91 | 122 | 1-х комнатная квартира  | 6/2 | 53 | ул. Кенен Азирбаев, дом 6/2, кв. 53 | 11075.83 | 15875.83 | 11075.83
92 | 123 | 3-х комнатная квартира  | 17 | 277 | Жилой комплекс Браво, Ш.Калдаякова дом 17, кв. 277 | 35846.67 | 65506.41 | 35846.67
93 | 124 | 3-х комнатная квартира  | 17 | 614 | Жилой комплекс Браво, Ш.Калдаякова дом 17, кв. 614 | 31420.67 | 57418.31 | 31420.67
94 | 125 | Комната в общежитии  | 81 | 301 | Жилой комплекс Общежитие, Республики 81 - 301 | 8179.71 | 5205.82 | 8179.71
95 | 126 | Комната в общежитии  | 81 | 302 | Жилой комплекс Общежитие, Республики 81 - 302 | 7798.58 | 4963.25 | 7798.58
96 | 127 | Комната в общежитии  | 81 | 303 | Жилой комплекс Общежитие, Республики 81 - 303 | 7886.53 | 5019.23 | 7886.53
97 | 128 | Комната в общежитии  | 81 | 305 | Жилой комплекс Общежитие, Республики 81 - 305 | 9557.66 | 6082.78 | 9557.66
98 | 129 | Комната в общежитии  | 81 | 306 | Жилой комплекс Общежитие, Республики 81 - 306 | 7798.58 | 4963.25 | 7798.58
99 | 130 | Комната в общежитии  | 81 | 308 | Жилой комплекс Общежитие, Республики 81 - 308 | 8091.76 | 5149.84 | 8091.76
100 | 131 | Комната в общежитии  | 81 | 310 | Жилой комплекс Общежитие, Республики 81 - 310 | 8062.44 | 5131.18 | 8062.44
101 | 132 | Комната в общежитии  | 81 | 311 | Жилой комплекс Общежитие, Республики 81 - 311 | 7974.49 | 5075.2 | 7974.49
102 | 133 | Комната в общежитии  | 81 | 312 | Жилой комплекс Общежитие, Республики 81 - 312 | 7681.31 | 4888.62 | 7681.31
103 | None | Комната в общежитии  | 81 | 315 | Жилой комплекс Общежитие, Республики 81 - 315 | 104098.73 | 4095.75 | 104098.73
104 | 135 | Комната в общежитии  | 81 | 316 | Жилой комплекс Общежитие, Республики 81 - 316 | 7857.22 | 5000.57 | 7857.22
105 | 136 | Комната в общежитии  | 81 | 317 | Жилой комплекс Общежитие, Республики 81 - 317 | 8033.12 | 5112.52 | 8033.12
106 | 138 | Комната в общежитии  | 81 | 325 | Жилой комплекс Общежитие, Республики 81 - 325 | 7945.17 | 5056.55 | 7945.17
107 | 139 | Комната в общежитии  | 81 | 326 | Жилой комплекс Общежитие, Республики 81 - 326 | 8033.12 | 5112.52 | 8033.12
108 | 140 | Комната в общежитии  | 81 | 327 | Жилой комплекс Общежитие, Республики 81 - 327 | 7857.22 | 5000.57 | 7857.22
109 | 141 | Комната в общежитии  | 81 | 404 | Жилой комплекс Общежитие, Республики 81 - 404 | 7386.19 | 4702.39 | 7386.19
110 | 142 | Комната в общежитии  | 81 | 405 | Жилой комплекс Общежитие, Республики 81 - 405 | 9182.83 | 5846.21 | 9182.83
111 | 143 | Комната в общежитии  | 81 | 407 | Жилой комплекс Общежитие, Республики 81 - 407 | 9810.23 | 6245.64 | 9810.23
112 | 144 | Комната в общежитии  | 81 | 408 | Жилой комплекс Общежитие, Республики 81 - 408 | 7785.45 | 4956.57 | 7785.45
113 | 145 | Комната в общежитии  | 81 | 409 | Жилой комплекс Общежитие, Республики 81 - 409 | 10665.77 | 6790.32 | 10665.77
114 | 146 | Комната в общежитии  | 81 | 410 | Жилой комплекс Общежитие, Республики 81 - 410 | 8013.59 | 5101.82 | 8013.59
115 | 147 | Комната в общежитии  | 81 | 411 | Жилой комплекс Общежитие, Республики 81 - 411 | 7728.41 | 4920.26 | 7728.41
116 | 148 | Комната в общежитии  | 81 | 412 | Жилой комплекс Общежитие, Республики 81 - 412 | 7386.19 | 4702.39 | 7386.19
117 | 149 | Комната в общежитии  | 81 | 413 | Жилой комплекс Общежитие, Республики 81 - 413 | 7842.48 | 4992.88 | 7842.48
118 | 150 | Комната в общежитии  | 81 | 415 | Жилой комплекс Общежитие, Республики 81 - 415 | 7728.41 | 4920.26 | 7728.41
119 | 151 | Комната в общежитии  | 81 | 417 | Жилой комплекс Общежитие, Республики 81 - 417 | 7842.48 | 4992.88 | 7842.48
120 | 152 | Комната в общежитии  | 81 | 418 | Жилой комплекс Общежитие, Республики 81 - 418 | 11236.14 | 7153.44 | 11236.14
121 | 153 | Комната в общежитии  | 81 | 422 | Жилой комплекс Общежитие, Республики 81 - 422 | 7985.07 | 5083.66 | 7985.07
122 | 154 | Комната в общежитии  | 81 | 424 | Жилой комплекс Общежитие, Республики 81 - 424 | 7585.82 | 4829.48 | 7585.82
123 | 155 | Комната в общежитии  | 81 | 426 | Жилой комплекс Общежитие, Республики 81 - 426 | 7871 | 5011.04 | 7871
124 | 156 | Комната в общежитии  | 81 | 427 | Жилой комплекс Общежитие, Республики 81 - 427 | 7728.41 | 4920.26 | 7728.41
125 | 157 | Комната в общежитии  | 81 | 501 | Жилой комплекс Общежитие, Республики 81 - 501 | 7720.32 | 4916.07 | 7720.32
126 | 158 | Комната в общежитии  | 81 | 502 | Жилой комплекс Общежитие, Республики 81 - 502 | 7551.88 | 4808.81 | 7551.88
127 | 159 | Комната в общежитии  | 81 | 507 | Жилой комплекс Общежитие, Республики 81 - 507 | 9657.42 | 6149.56 | 9657.42
128 | 160 | Комната в общежитии  | 81 | 508 | Жилой комплекс Общежитие, Республики 81 - 508 | 7664.17 | 4880.32 | 7664.17
129 | 161 | Комната в общежитии  | 81 | 509 | Жилой комплекс Общежитие, Республики 81 - 509 | 10499.63 | 6685.86 | 10499.63
130 | 162 | Комната в общежитии  | 81 | 510 | Жилой комплекс Общежитие, Республики 81 - 510 | 7888.76 | 5023.33 | 7888.76
131 | 163 | Комната в общежитии  | 81 | 511 | Жилой комплекс Общежитие, Республики 81 - 511 | 7608.02 | 4844.57 | 7608.02
132 | 164 | Комната в общежитии  | 81 | 512 | Жилой комплекс Общежитие, Республики 81 - 512 | 7271.14 | 4630.05 | 7271.14
133 | 165 | Комната в общежитии  | 81 | 515 | Жилой комплекс Общежитие, Республики 81 - 515 | 7608.02 | 4844.57 | 7608.02
134 | 166 | Комната в общежитии  | 81 | 517 | Жилой комплекс Общежитие, Республики 81 - 517 | 7720.32 | 4916.07 | 7720.32
135 | 167 | Комната в общежитии  | 81 | 518 | Жилой комплекс Общежитие, Республики 81 - 518 | 11061.11 | 7043.39 | 11061.11
136 | 169 | Комната в общежитии  | 81 | 520 | Жилой комплекс Общежитие, Республики 81 - 520 | 9208.24 | 5863.53 | 9208.24
137 | 170 | Комната в общежитии  | 81 | 521 | Жилой комплекс Общежитие, Республики 81 - 521 | 10471.56 | 6667.98 | 10471.56
138 | 171 | Комната в общежитии  | 81 | 523 | Жилой комплекс Общежитие, Республики 81 - 523 | 9180.16 | 5845.66 | 9180.16
139 | 172 | Комната в общежитии  | 81 | 525 | Жилой комплекс Общежитие, Республики 81 - 525 | 7523.8 | 4790.94 | 7523.8
140 | 1 | 1 комнатная квартира | 58/1 | 68 | Район Алматы Ш Калдаякова дом 58/1 | 292046.52 | 16295 | 24337.21
141 | 2 | 1 комнатная квартира | 58/1 | 48 | Район Алматы Ш Калдаякова дом 58/1 | 294719.95 | 16444.17 | 24560
142 | 3 | 1 комнатная квартира | 58/1 | 54 | Район Алматы Ш Калдаякова дом 58/1 | 292703.73 | 16331.67 | 24391.98
143 | 4 | 1 комнатная квартира | 58/1 | 55 | Район Алматы Ш Калдаякова дом 58/1 | 293375.8 | 16369.17 | 24447.98
144 | 5 | 1 комнатная квартира | 58/1 | 61 | Район Алматы Ш Калдаякова дом 58/1 | 292703.73 | 16331.67 | 24391.98
145 | 6 | 1 комнатная квартира | 58/1 | 62 | Район Алматы Ш Калдаякова дом 58/1 | 294047.88 | 16406.67 | 24503.99
146 | 7 | 1 комнатная квартира | 5 | 7 | Район Нура улица Е 36 дом 5 | 307913.32 | 17218.33 | 25659.44
147 | 8 | 1 комнатная квартира | 5 | 12 | Район Нура улица Е 36 дом 5 | 310118.87 | 17341.67 | 25843.24
148 | 9 | 1 комнатная квартира | 5 | 19 | Район Нура улица Е 36 дом 5 | 307913.32 | 17218.33 | 25659.44
149 | 10 | 1 комнатная квартира | 5 | 22 | Район Нура улица Е 36 дом 5 | 310118.87 | 17341.67 | 25843.24
150 | 11 | 1 комнатная квартира | 5 | 24 | Район Нура улица Е 36 дом 5 | 307913.32 | 17218.33 | 25659.44
151 | 12 | 1 комнатная квартира | 5 | 29 | Район Нура улица Е 36 дом 5 | 305707.77 | 17095 | 25475.65
152 | 13 | 1 комнатная квартира | 5 | 47 | Район Нура улица Е 36 дом 5 | 337300.86 | 18861.67 | 28108.41
153 | 14 | 1 комнатная квартира | 5 | 48 | Район Нура улица Е 36 дом 5 | 337300.86 | 18861.67 | 28108.41
154 | 15 | 1 комнатная квартира | 5 | 53 | Район Нура улица Е 36 дом 5 | 338776.18 | 18944.17 | 28231.35
155 | 16 | 1 комнатная квартира | 5 | 57 | Район Нура улица Е 36 дом 5 | 338776.18 | 18944.17 | 28231.35
156 | 17 | 1 комнатная квартира | 5 | 58 | Район Нура улица Е 36 дом 5 | 338776.18 | 18944.17 | 28231.35
157 | 18 | 1 комнатная квартира | 5 | 62 | Район Нура улица Е 36 дом 5 | 334365.09 | 18697.5 | 27863.76
158 | 19 | 1 комнатная квартира | 5 | 67 | Район Нура улица Е 36 дом 5 | 334365.09 | 18697.5 | 27863.76
159 | 20 | 1 комнатная квартира | 5 | 97 | Район Нура улица Е 36 дом 5 | 306438 | 17135.83 | 25536.5
160 | 21 | 1 комнатная квартира | 5 | 168 | Район Нура улица Е 36 дом 5 | 289627.88 | 16193.33 | 24135.66
161 | 22 | 1 комнатная квартира | 5 | 169 | Район Нура улица Е 36 дом 5 | 283516.97 | 15851.67 | 23626.41
162 | 23 | 1 комнатная квартира | 5 | 174 | Район Нура улица Е 36 дом 5 | 307913.32 | 17218.33 | 25659.44
163 | 24 | 2-х комнатная квартира  | 5 | 105 | Район Нура улица Е 36 дом 5 | 473408.14 | 26467.5 | 39450.68
164 | 25 | 2-х комнатная квартира  | 5 | 110 | Район Нура улица Е 36 дом 5 | 474734.72 | 26541.67 | 39561.23
165 | 26 | 2-х комнатная квартира  | 5 | 115 | Район Нура улица Е 36 дом 5 | 474734.72 | 26541.67 | 39561.23
166 | 27 | 2-х комнатная квартира  | 5 | 125 | Район Нура улица Е 36 дом 5 | 473408.14 | 26467.5 | 39450.68
167 | 28 | 2-х комнатная квартира  | 5 | 130 | Район Нура улица Е 36 дом 5 | 472737.41 | 26430 | 39394.78
168 | 29 | 2-х комнатная квартира  | 5 | 135 | Район Нура улица Е 36 дом 5 | 474063.98 | 26504.17 | 39505.33
169 | 30 | 2-х комнатная квартира  | 5 | 140 | Район Нура улица Е 36 дом 5 | 472737.41 | 26430 | 39394.78
170 | 31 | 2-х комнатная квартира  | 5 | 145 | Район Нура улица Е 36 дом 5 | 472737.41 | 26430 | 39394.78
171 | 32 | 2-х комнатная квартира  | 5 | 206 | Район Нура улица Е 36 дом 5 | 473408.14 | 26467.5 | 39450.68
