Total apartments in DB: 254
ID: 1 | Complex: 'Зерде' | District: 'None' | Street: 'Кудайбердыулы' | House: '4' | Apt: '1' | Address: 'Жилой комплекс Зерде, Кудайбердыулы 4 - 1'
ID: 13 | Complex: 'Лазурный квартал' | District: 'None' | Street: 'Сарайшык' | House: '5Д' | Apt: '21' | Address: 'Жилой комплекс Лазурный квартал, Сарайшык 5Д - 21'
ID: 14 | Complex: 'Лазурный квартал' | District: 'None' | Street: 'Сарайшык' | House: '5Д' | Apt: '6' | Address: 'Жилой комплекс Лазурный квартал, Сарайшык 5Д - 6'
ID: 15 | Complex: 'Лазурный квартал' | District: 'None' | Street: 'Сарайшык' | House: '5Д' | Apt: '7' | Address: 'Жилой комплекс Лазурный квартал, Сарайшык 5Д - 7'
ID: 16 | Complex: 'Лазурный квартал' | District: 'None' | Street: 'Сарайшык' | House: '5Д' | Apt: '76' | Address: 'Жилой комплекс Лазурный квартал, Сарайшык 5Д - 76'
ID: 17 | Complex: 'Лазурный квартал' | District: 'None' | Street: 'Сарайшык' | House: '5Д' | Apt: '95' | Address: 'Жилой комплекс Лазурный квартал, Сарайшык 5Д - 95'
ID: 18 | Complex: 'Сармат' | District: 'None' | Street: 'Сауран' | House: '3/1' | Apt: '265' | Address: 'Жилой комплекс Сармат-2, Сауран 3/1 - 265'
ID: 19 | Complex: 'Сармат' | District: 'None' | Street: 'Сауран' | House: '3/1' | Apt: '309' | Address: 'Жилой комплекс Сармат-2, Сауран 3/1 - 309'
ID: 20 | Complex: 'Сармат' | District: 'None' | Street: 'Сауран' | House: '3/1' | Apt: '359' | Address: 'Жилой комплекс Сармат-2, Сауран 3/1 - 359'
ID: 21 | Complex: 'Сармат' | District: 'None' | Street: 'Сауран' | House: '3/1' | Apt: '454' | Address: 'Жилой комплекс Сармат-2, Сауран 3/1 - 454'
ID: 22 | Complex: 'Хан-тенгри' | District: 'None' | Street: 'Сембинова' | House: '7' | Apt: '6' | Address: 'Жилой комплекс Хан-тенгри, Сембинова 7 - 6'
ID: 23 | Complex: 'Виктория' | District: 'None' | Street: 'Б. Момышулы' | House: '2' | Apt: '9' | Address: 'Жилой комплекс Виктория, Б. Момышулы 2 - 9'
ID: 24 | Complex: 'Виктория' | District: 'None' | Street: 'Б. Момышулы' | House: '2' | Apt: '119' | Address: 'Жилой комплекс Виктория, Б. Момышулы 2 - 119'
ID: 25 | Complex: 'Виктория' | District: 'None' | Street: 'Б. Момышулы' | House: '2' | Apt: '122' | Address: 'Жилой комплекс Виктория, Б. Момышулы 2 - 122'
ID: 26 | Complex: 'Виктория' | District: 'None' | Street: 'Б. Момышулы' | House: '2' | Apt: '132' | Address: 'Жилой комплекс Виктория, Б. Момышулы 2 - 132'
ID: 27 | Complex: 'Жагалау-3' | District: 'None' | Street: '199' | House: '36/1' | Apt: '23' | Address: 'Жилой комплекс Жагалау-3, 199 36/1 - 23'
ID: 28 | Complex: 'Жагалау-3' | District: 'None' | Street: '199' | House: '36/1' | Apt: '30' | Address: 'Жилой комплекс Жагалау-3, 199 36/1 - 30'
ID: 29 | Complex: 'Жагалау-3' | District: 'None' | Street: '199' | House: '36/1' | Apt: '31' | Address: 'Жилой комплекс Жагалау-3, 199 36/1 - 31'
ID: 30 | Complex: 'Жагалау-3' | District: 'None' | Street: '199' | House: '36/1' | Apt: '40' | Address: 'Жилой комплекс Жагалау-3, 199 36/1 - 40'
ID: 31 | Complex: 'Жагалау-3' | District: 'None' | Street: '199' | House: '36/1' | Apt: '41' | Address: 'Жилой комплекс Жагалау-3, 199 36/1 - 41'
ID: 32 | Complex: 'Жагалау-3' | District: 'None' | Street: '199' | House: '36/1' | Apt: '43' | Address: 'Жилой комплекс Жагалау-3, 199 36/1 - 43'
ID: 33 | Complex: 'Жагалау-3' | District: 'None' | Street: '199' | House: '36/1' | Apt: '44' | Address: 'Жилой комплекс Жагалау-3, 199 36/1 - 44'
ID: 34 | Complex: 'Жагалау-3' | District: 'None' | Street: '199' | House: '36/1' | Apt: '45' | Address: 'Жилой комплекс Жагалау-3, 199 36/1 - 45'
ID: 35 | Complex: 'Сапа-2007' | District: 'None' | Street: '188' | House: '7' | Apt: '177' | Address: 'Жилой комплекс Сапа-2007, 188 7 - 177'
ID: 36 | Complex: 'Сапа-2007' | District: 'None' | Street: '188' | House: '7' | Apt: '181' | Address: 'Жилой комплекс Сапа-2007, 188 7 - 181'
ID: 37 | Complex: 'Сапа-2007' | District: 'None' | Street: '188' | House: '7' | Apt: '183' | Address: 'Жилой комплекс Сапа-2007, 188 7 - 183'
ID: 38 | Complex: 'Сапа-2007' | District: 'None' | Street: '188' | House: '7' | Apt: '242' | Address: 'Жилой комплекс Сапа-2007, 188 7 - 242'
ID: 39 | Complex: 'Сапа-2007' | District: 'None' | Street: '188' | House: '7' | Apt: '246' | Address: 'Жилой комплекс Сапа-2007, 188 7 - 246'
ID: 40 | Complex: 'Сапа-2007' | District: 'None' | Street: '188' | House: '7' | Apt: '252' | Address: 'Жилой комплекс Сапа-2007, 188 7 - 252'
ID: 41 | Complex: 'Сапа-2007' | District: 'None' | Street: '188' | House: '7' | Apt: '254' | Address: 'Жилой комплекс Сапа-2007, 188 7 - 254'
ID: 42 | Complex: 'Сапа-2007' | District: 'None' | Street: '188' | House: '7' | Apt: '260' | Address: 'Жилой комплекс Сапа-2007, 188 7 - 260'
ID: 43 | Complex: 'Сапа-2007' | District: 'None' | Street: '188' | House: '7' | Apt: '270' | Address: 'Жилой комплекс Сапа-2007, 188 7 - 270'
ID: 44 | Complex: 'Сапа-2007' | District: 'None' | Street: '188' | House: '7' | Apt: '272' | Address: 'Жилой комплекс Сапа-2007, 188 7 - 272'
ID: 45 | Complex: 'Акку' | District: 'None' | Street: 'Е30' | House: '5' | Apt: '116' | Address: 'Жилой комплекс Акку, ул. Е30, дом 5, кв. 116'
ID: 46 | Complex: 'Акку' | District: 'None' | Street: 'Е30' | House: '5' | Apt: '128' | Address: 'Жилой комплекс Акку, ул. Е30, дом 5, кв. 128'
ID: 47 | Complex: 'Акку' | District: 'None' | Street: 'Е30' | House: '5' | Apt: '130' | Address: 'Жилой комплекс Акку, ул. Е30, дом 5, кв. 130'
ID: 48 | Complex: 'Акку' | District: 'None' | Street: 'Е30' | House: '5' | Apt: '153' | Address: 'Жилой комплекс Акку, ул. Е30, дом 5, кв. 153'
ID: 49 | Complex: 'Акку' | District: 'None' | Street: 'Е30' | House: '5' | Apt: '165' | Address: 'Жилой комплекс Акку, ул. Е30, дом 5, кв. 165'
ID: 50 | Complex: 'Акку' | District: 'None' | Street: 'Е30' | House: '5' | Apt: '174' | Address: 'Жилой комплекс Акку, ул. Е30, дом 5, кв. 174'
ID: 51 | Complex: 'Акку' | District: 'None' | Street: 'Е30' | House: '5' | Apt: '178' | Address: 'Жилой комплекс Акку, ул. Е30, дом 5, кв. 178'
ID: 52 | Complex: 'Акку' | District: 'None' | Street: 'Е30' | House: '5' | Apt: '186' | Address: 'Жилой комплекс Акку, ул. Е30, дом 5, кв. 186'
ID: 53 | Complex: 'Акку' | District: 'None' | Street: 'Е30' | House: '5' | Apt: '205' | Address: 'Жилой комплекс Акку, ул. Е30, дом 5, кв. 205'
ID: 54 | Complex: 'Акку' | District: 'None' | Street: 'Е30' | House: '5' | Apt: '207' | Address: 'Жилой комплекс Акку, ул. Е30, дом 5, кв. 207'
ID: 55 | Complex: 'Акку' | District: 'None' | Street: 'Е30' | House: '5' | Apt: '208' | Address: 'Жилой комплекс Акку, ул. Е30, дом 5, кв. 208'
ID: 56 | Complex: 'Акку' | District: 'None' | Street: 'Е30' | House: '5' | Apt: '424' | Address: 'Жилой комплекс Акку, ул. Е30, дом 5, кв. 424'
ID: 57 | Complex: 'Акку' | District: 'None' | Street: 'Е30' | House: '5' | Apt: '437' | Address: 'Жилой комплекс Акку, ул. Е30, дом 5, кв. 437'
ID: 72 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '310' | Address: 'Жилой комплекс Общежитие, Республики 81 - 310'
ID: 58 | Complex: 'Акку' | District: 'None' | Street: 'Е30' | House: '5' | Apt: '514' | Address: 'Жилой комплекс Акку, ул. Е30, дом 5, кв. 514'
ID: 73 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '311' | Address: 'Жилой комплекс Общежитие, Республики 81 - 311'
ID: 59 | Complex: 'Акку' | District: 'None' | Street: 'Е30' | House: '5' | Apt: '516' | Address: 'Жилой комплекс Акку, ул. Е30, дом 5, кв. 516'
ID: 60 | Complex: 'ул. К. Азирбаева' | District: 'None' | Street: 'Кенен Азирбаев' | House: '6/2' | Apt: '11' | Address: 'ул. Кенен Азирбаев, дом 6/2, кв. 11'
ID: 61 | Complex: 'ул. К. Азирбаева' | District: 'None' | Street: 'Кенен Азирбаев' | House: '6/2' | Apt: '18' | Address: 'ул. Кенен Азирбаев, дом 6/2, кв. 18'
ID: 62 | Complex: 'ул. К. Азирбаева' | District: 'None' | Street: 'Кенен Азирбаев' | House: '6/2' | Apt: '39' | Address: 'ул. Кенен Азирбаев, дом 6/2, кв. 39'
ID: 63 | Complex: 'ул. К. Азирбаева' | District: 'None' | Street: 'Кенен Азирбаев' | House: '6/2' | Apt: '53' | Address: 'ул. Кенен Азирбаев, дом 6/2, кв. 53'
ID: 64 | Complex: 'Браво' | District: 'None' | Street: 'Браво' | House: '17' | Apt: '277' | Address: 'Жилой комплекс Браво, Ш.Калдаякова дом 17, кв. 277'
ID: 65 | Complex: 'Браво' | District: 'None' | Street: 'Браво' | House: '17' | Apt: '614' | Address: 'Жилой комплекс Браво, Ш.Калдаякова дом 17, кв. 614'
ID: 66 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '301' | Address: 'Жилой комплекс Общежитие, Республики 81 - 301'
ID: 67 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '302' | Address: 'Жилой комплекс Общежитие, Республики 81 - 302'
ID: 68 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '303' | Address: 'Жилой комплекс Общежитие, Республики 81 - 303'
ID: 69 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '305' | Address: 'Жилой комплекс Общежитие, Республики 81 - 305'
ID: 70 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '306' | Address: 'Жилой комплекс Общежитие, Республики 81 - 306'
ID: 71 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '308' | Address: 'Жилой комплекс Общежитие, Республики 81 - 308'
ID: 74 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '312' | Address: 'Жилой комплекс Общежитие, Республики 81 - 312'
ID: 75 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '315' | Address: 'Жилой комплекс Общежитие, Республики 81 - 315'
ID: 76 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '316' | Address: 'Жилой комплекс Общежитие, Республики 81 - 316'
ID: 77 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '317' | Address: 'Жилой комплекс Общежитие, Республики 81 - 317'
ID: 78 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '325' | Address: 'Жилой комплекс Общежитие, Республики 81 - 325'
ID: 79 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '326' | Address: 'Жилой комплекс Общежитие, Республики 81 - 326'
ID: 80 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '327' | Address: 'Жилой комплекс Общежитие, Республики 81 - 327'
ID: 81 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '404' | Address: 'Жилой комплекс Общежитие, Республики 81 - 404'
ID: 82 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '405' | Address: 'Жилой комплекс Общежитие, Республики 81 - 405'
ID: 83 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '407' | Address: 'Жилой комплекс Общежитие, Республики 81 - 407'
ID: 84 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '408' | Address: 'Жилой комплекс Общежитие, Республики 81 - 408'
ID: 85 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '409' | Address: 'Жилой комплекс Общежитие, Республики 81 - 409'
ID: 86 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '410' | Address: 'Жилой комплекс Общежитие, Республики 81 - 410'
ID: 87 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '411' | Address: 'Жилой комплекс Общежитие, Республики 81 - 411'
ID: 88 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '412' | Address: 'Жилой комплекс Общежитие, Республики 81 - 412'
ID: 89 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '413' | Address: 'Жилой комплекс Общежитие, Республики 81 - 413'
ID: 90 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '415' | Address: 'Жилой комплекс Общежитие, Республики 81 - 415'
ID: 91 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '417' | Address: 'Жилой комплекс Общежитие, Республики 81 - 417'
ID: 92 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '418' | Address: 'Жилой комплекс Общежитие, Республики 81 - 418'
ID: 93 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '422' | Address: 'Жилой комплекс Общежитие, Республики 81 - 422'
ID: 94 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '424' | Address: 'Жилой комплекс Общежитие, Республики 81 - 424'
ID: 95 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '426' | Address: 'Жилой комплекс Общежитие, Республики 81 - 426'
ID: 96 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '427' | Address: 'Жилой комплекс Общежитие, Республики 81 - 427'
ID: 97 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '501' | Address: 'Жилой комплекс Общежитие, Республики 81 - 501'
ID: 98 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '502' | Address: 'Жилой комплекс Общежитие, Республики 81 - 502'
ID: 99 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '507' | Address: 'Жилой комплекс Общежитие, Республики 81 - 507'
ID: 100 | Complex: 'Общежитие' | District: 'None' | Street: 'Республики' | House: '81' | Apt: '508' | Address: 'Жилой комплекс Общежитие, Республики 81 - 508'
